town,submarket_or_compound,listings,median_price,median_price_per_sqm,property_types
Hurghada,il Bayou,5,17000000.0,109267.47787610619,4
Hay Sharq,The One,5,9710000.0,75265.63475177305,2
New Cairo City,Rehab City Forth Phase,5,10500000.0,50420.16806722689,1
New Cairo City,Grand Lane,5,4500000.0,48920.86330935252,1
Hay Sharq,Abou Quer Road,5,9100000.0,40444.444444444445,1
6 October City,Porto October,5,11000000.0,42145.5938697318,2
New Cairo City,El Yasmeen 2,5,7499999.0,37499.995,1
New Cairo City,El Yasmeen 6,5,7900000.0,31746.031746031746,2
Sheikh Zayed City,Elysium,5,4700000.0,28455.28455284553,1
New Cairo City,El Yasmeen 8,5,7300000.0,34761.90476190476,2
Sheikh Zayed City,El Patio Vera,5,5000000.0,18145.16129032258,2
Sheikh Zayed City,Elite West,5,5150000.0,24489.79591836735,1
Sheikh Zayed City,Genista,5,5130000.0,38000.0,1
Obour City,Unknown,5,3098000.0,21571.428571428572,2
6 October City,Rayos,5,12500000.0,56818.181818181816,4
Sheikh Zayed City,Belva,5,5150000.0,24489.79591836735,1
Al Ain Al Sokhna,La Vista Ray,5,11000000.0,100000.0,1
Al Ain Al Sokhna,Mountain view Sokhna,5,8300000.0,66400.0,2
Al Ain Al Sokhna,Caribbean Bay,5,1700000.0,28333.333333333332,1
6 October City,West Gate,5,18000000.0,62937.06293706294,4
New Cairo City,Mostashareen,5,7500000.0,34615.38461538462,2
New Cairo City,Rayhan Villas,5,28880000.0,62782.608695652176,1
Nasr City,Unknown,5,5500000.0,26388.88888888889,1
Heliopolis - Masr El Gedida,Salah Salem St.,5,7250000.0,46474.35897435898,1
New Cairo City,Area C,5,8500000.0,42500.0,1
New Cairo City,Al Narges 2,5,8800000.0,39545.454545454544,2
Nasr City,Mostafa Al Nahas St.,5,5000000.0,30625.0,1
New Cairo City,Cairova,5,5705700.0,85106.3829787234,3
Sheikh Zayed City,Bahja,5,4000000.0,28888.88888888889,1
Mostakbal City - Future City,MonteNapoleone,5,12097078.0,62666.666666666664,3
Al Alamein,Marina 7,5,8000000.0,84000.0,1
Al Alamein,Palm Hills New Alamein,5,7000000.0,65420.56074766355,2
Sheikh Zayed City,Meadows Park,5,20000000.0,54794.520547945205,2
Sheikh Zayed City,Park Valley,5,5700000.0,28643.21608040201,2
Sheikh Zayed City,Opera City,5,6500000.0,40935.67251461988,1
Sheikh Zayed City,Lazurde,5,5500000.0,32352.941176470587,1
Hurghada,G Cribs,4,10562500.0,124899.19354838709,2
New Cairo City,Paradise,4,37250000.0,46014.526710403,2
Hay Awal El Montazah,Saraya,4,7600000.0,40661.742538438346,1
Hay Awal El Montazah,Unknown,4,4875000.0,22168.80341880342,1
6 October City,Gardenia Park,4,34000000.0,51876.13019891501,1
Borg El Arab City,New Borg Al Arab City   Marsa Matrouh Road,4,12275000.0,34978.497343789524,3
New Cairo City,Al Ashrafiya,4,7550000.0,44671.814671814675,1
6 October City,Touristic 1,4,4050000.0,25806.10021786492,1
Hay El Maadi,10th Sector,4,5600000.0,32125.307125307125,1
New Capital City,Lumia Residence,4,5788000.0,38968.452000000005,2
New Cairo City,Area D,4,8400000.0,34991.2739965096,1
Ras Sedr,Santa Claus,4,1575000.0,26250.0,1
New Cairo City,Amara,4,9028900.0,44243.75,2
Al Ain Al Sokhna,La Vista 1,4,9250000.0,66964.28571428571,2
Hurghada,Sabina,4,23950000.0,113571.42857142858,3
Ras Al Hekma,Jefaira Quayside,4,9375675.0,72159.0710668762,2
New Capital City,Scene 7,4,5750000.0,29670.205645161288,1
New Cairo City,El Yasmeen 5,4,7300000.0,33181.818181818184,1
New Cairo City,El Banafseg 5,4,33500000.0,67000.0,1
New Cairo City,El Yasmeen 3,4,8150000.0,35240.740740740745,1
Hurghada,North Bay,4,28750000.0,129000.0,1
New Cairo City,Maxim,4,32500000.0,48317.46031746032,1
Hurghada,Jamaran,4,22500000.0,91102.04081632654,2
Hay El Maadi,Street 232,4,8000000.0,38510.10101010101,2
6 October City,ECO West,4,1200000.0,15000.0,1
Hay El Maadi,Crystal Plaza,4,4450000.0,26703.296703296703,1
New Cairo City,District 2,4,11500000.0,31067.251461988304,3
